Year,Geography,Rate per 100000
"2017","Alabama","614.1"
"2016","Alabama","553.5"
"2015","Alabama","543.4"
"2014","Alabama","599.4"
"2013","Alabama","610.3"
"2012","Alabama","636.1"
"2011","Alabama","617.4"
"2010","Alabama","565.1"
"2009","Alabama","550.8"
"2008","Alabama","529.8"
"2007","Alabama","542.8"
"2006","Alabama","498.7"
"2005","Alabama","376.6"
"2004","Alabama","295.2"
"2003","Alabama","316.5"
"2002","Alabama","349.1"
"2001","Alabama","325.4"
"2000","Alabama","344.2"
"2017","Alaska","802.1"
"2016","Alaska","768.4"
"2015","Alaska","767.0"
"2014","Alaska","785.7"
"2013","Alaska","783.7"
"2012","Alaska","747.4"
"2011","Alaska","794.6"
"2010","Alaska","843.0"
"2009","Alaska","743.6"
"2008","Alaska","709.1"
"2007","Alaska","722.3"
"2006","Alaska","670.1"
"2005","Alaska","652.8"
"2004","Alaska","599.7"
"2003","Alaska","602.2"
"2002","Alaska","592.9"
"2001","Alaska","433.1"
"2000","Alaska","409.2"
"2017","Arizona","564.4"
"2016","Arizona","505.5"
"2015","Arizona","476.1"
"2014","Arizona","483.1"
"2013","Arizona","462.0"
"2012","Arizona","465.2"
"2011","Arizona","452.4"
"2010","Arizona","419.2"
"2009","Arizona","394.7"
"2008","Arizona","381.1"
"2007","Arizona","391.0"
"2006","Arizona","389.1"
"2005","Arizona","355.9"
"2004","Arizona","291.5"
"2003","Arizona","229.3"
"2002","Arizona","273.7"
"2001","Arizona","270.6"
"2000","Arizona","244.1"
"2017","Arkansas","576.5"
"2016","Arkansas","560.1"
"2015","Arkansas","543.3"
"2014","Arkansas","526.3"
"2013","Arkansas","522.4"
"2012","Arkansas","563.2"
"2011","Arkansas","546.2"
"2010","Arkansas","527.9"
"2009","Arkansas","497.1"
"2008","Arkansas","493.0"
"2007","Arkansas","350.3"
"2006","Arkansas","293.4"
"2005","Arkansas","306.4"
"2004","Arkansas","286.4"
"2003","Arkansas","288.5"
"2002","Arkansas","270.4"
"2001","Arkansas","270.6"
"2000","Arkansas","232.2"
"2017","California","553.4"
"2016","California","504.3"
