Submission Date,Geography,New Cases
01/22/2020,Alaska,0
01/23/2020,Alaska,0
01/24/2020,Alaska,0
01/25/2020,Alaska,0
01/26/2020,Alaska,0
01/27/2020,Alaska,0
01/28/2020,Alaska,0
01/29/2020,Alaska,0
01/30/2020,Alaska,0
01/31/2020,Alaska,0
02/01/2020,Alaska,0
02/02/2020,Alaska,0
02/03/2020,Alaska,0
02/04/2020,Alaska,0
02/05/2020,Alaska,0
02/06/2020,Alaska,0
02/07/2020,Alaska,0
02/08/2020,Alaska,0
02/09/2020,Alaska,0
02/10/2020,Alaska,0
02/11/2020,Alaska,0
02/12/2020,Alaska,0
02/13/2020,Alaska,0
02/14/2020,Alaska,0
02/15/2020,Alaska,0
02/16/2020,Alaska,0
02/17/2020,Alaska,0
02/18/2020,Alaska,0
02/19/2020,Alaska,0
02/20/2020,Alaska,0
02/21/2020,Alaska,0
02/22/2020,Alaska,0
02/23/2020,Alaska,0
02/24/2020,Alaska,0
02/25/2020,Alaska,0
02/26/2020,Alaska,0
02/27/2020,Alaska,0
02/28/2020,Alaska,0
02/29/2020,Alaska,0
03/01/2020,Alaska,0
03/02/2020,Alaska,0
03/03/2020,Alaska,0
03/04/2020,Alaska,0
03/05/2020,Alaska,0
03/06/2020,Alaska,0
03/07/2020,Alaska,0
03/08/2020,Alaska,0
03/09/2020,Alaska,0
03/10/2020,Alaska,0
03/11/2020,Alaska,0
03/12/2020,Alaska,0
03/13/2020,Alaska,1
03/14/2020,Alaska,0
03/15/2020,Alaska,0
03/16/2020,Alaska,0
03/17/2020,Alaska,2
03/18/2020,Alaska,5
03/19/2020,Alaska,3
03/20/2020,Alaska,3
03/21/2020,Alaska,1
03/22/2020,Alaska,10
03/23/2020,Alaska,13
03/24/2020,Alaska,4
03/25/2020,Alaska,7
03/26/2020,Alaska,14
03/27/2020,Alaska,11
03/28/2020,Alaska,17
03/29/2020,Alaska,19
03/30/2020,Alaska,8
03/31/2020,Alaska,10
04/01/2020,Alaska,13
04/02/2020,Alaska,8
04/03/2020,Alaska,11
04/04/2020,Alaska,11
04/05/2020,Alaska,14
04/06/2020,Alaska,6
04/07/2020,Alaska,22
04/08/2020,Alaska,13
04/09/2020,Alaska,9
04/10/2020,Alaska,11
04/11/2020,Alaska,11
04/12/2020,Alaska,15
04/13/2020,Alaska,5
04/14/2020,Alaska,8
04/15/2020,Alaska,8
04/16/2020,Alaska,7
04/17/2020,Alaska,9
04/18/2020,Alaska,5
04/19/2020,Alaska,5
04/20/2020,Alaska,2
04/21/2020,Alaska,8
04/22/2020,Alaska,6
04/23/2020,Alaska,2
04/24/2020,Alaska,2
04/25/2020,Alaska,0
04/26/2020,Alaska,2
04/27/2020,Alaska,4
04/28/2020,Alaska,6
04/29/2020,Alaska,4
04/30/2020,Alaska,0
05/01/2020,Alaska,9
05/02/2020,Alaska,1
05/03/2020,Alaska,3
05/04/2020,Alaska,2
05/05/2020,Alaska,1
05/06/2020,Alaska,1
05/07/2020,Alaska,2
05/08/2020,Alaska,3
05/09/2020,Alaska,1
05/10/2020,Alaska,1
05/11/2020,Alaska,2
05/12/2020,Alaska,2
05/13/2020,Alaska,1
05/14/2020,Alaska,5
05/15/2020,Alaska,1
05/16/2020,Alaska,4
05/17/2020,Alaska,4
05/18/2020,Alaska,3
05/19/2020,Alaska,0
05/20/2020,Alaska,3
05/21/2020,Alaska,0
05/22/2020,Alaska,2
05/23/2020,Alaska,4
05/24/2020,Alaska,0
05/25/2020,Alaska,1
05/26/2020,Alaska,2
05/27/2020,Alaska,1
05/28/2020,Alaska,13
05/29/2020,Alaska,5
05/30/2020,Alaska,3
05/31/2020,Alaska,28
06/01/2020,Alaska,7
06/02/2020,Alaska,20
06/03/2020,Alaska,18
06/04/2020,Alaska,10
06/05/2020,Alaska,11
06/06/2020,Alaska,12
06/07/2020,Alaska,8
06/08/2020,Alaska,18
06/09/2020,Alaska,11
06/10/2020,Alaska,20
06/11/2020,Alaska,18
06/12/2020,Alaska,14
06/13/2020,Alaska,26
06/14/2020,Alaska,9
06/15/2020,Alaska,3
06/16/2020,Alaska,13
06/17/2020,Alaska,20
06/18/2020,Alaska,12
06/19/2020,Alaska,16
06/20/2020,Alaska,21
06/21/2020,Alaska,11
06/22/2020,Alaska,6
06/23/2020,Alaska,16
06/24/2020,Alaska,14
06/25/2020,Alaska,24
06/26/2020,Alaska,18
06/27/2020,Alaska,19
06/28/2020,Alaska,29
06/29/2020,Alaska,21
06/30/2020,Alaska,36
07/01/2020,Alaska,38
07/02/2020,Alaska,38
07/03/2020,Alaska,45
07/04/2020,Alaska,49
07/05/2020,Alaska,27
07/06/2020,Alaska,27
07/07/2020,Alaska,18
07/08/2020,Alaska,40
07/09/2020,Alaska,47
07/10/2020,Alaska,50
07/11/2020,Alaska,63
07/12/2020,Alaska,92
07/13/2020,Alaska,59
07/14/2020,Alaska,43
07/15/2020,Alaska,51
07/16/2020,Alaska,63
07/17/2020,Alaska,42
07/18/2020,Alaska,62
07/19/2020,Alaska,83
07/20/2020,Alaska,73
07/21/2020,Alaska,90
07/22/2020,Alaska,94
07/23/2020,Alaska,64
07/24/2020,Alaska,57
07/25/2020,Alaska,88
07/26/2020,Alaska,185
07/27/2020,Alaska,94
07/28/2020,Alaska,109
07/29/2020,Alaska,68
07/30/2020,Alaska,84
07/31/2020,Alaska,106
08/01/2020,Alaska,145
08/02/2020,Alaska,136
08/03/2020,Alaska,59
08/04/2020,Alaska,60
08/05/2020,Alaska,55
08/06/2020,Alaska,40
08/07/2020,Alaska,55
08/08/2020,Alaska,79
08/09/2020,Alaska,98
08/10/2020,Alaska,68
08/11/2020,Alaska,49
08/12/2020,Alaska,61
08/13/2020,Alaska,81
08/14/2020,Alaska,100
08/15/2020,Alaska,84
08/16/2020,Alaska,102
08/17/2020,Alaska,50
08/18/2020,Alaska,66
08/19/2020,Alaska,73
08/20/2020,Alaska,83
08/21/2020,Alaska,69
08/22/2020,Alaska,88
08/23/2020,Alaska,66
08/24/2020,Alaska,72
08/25/2020,Alaska,33
08/26/2020,Alaska,52
08/27/2020,Alaska,85
08/28/2020,Alaska,116
08/29/2020,Alaska,93
08/30/2020,Alaska,43
08/31/2020,Alaska,36
09/01/2020,Alaska,35
09/02/2020,Alaska,65
09/03/2020,Alaska,86
09/04/2020,Alaska,119
09/05/2020,Alaska,87
09/06/2020,Alaska,94
09/07/2020,Alaska,34
09/08/2020,Alaska,34
09/09/2020,Alaska,65
09/10/2020,Alaska,114
09/11/2020,Alaska,89
09/12/2020,Alaska,103
09/13/2020,Alaska,62
09/14/2020,Alaska,74
09/15/2020,Alaska,43
09/16/2020,Alaska,50
09/17/2020,Alaska,108
09/18/2020,Alaska,107
09/19/2020,Alaska,94
09/20/2020,Alaska,108
09/21/2020,Alaska,70
09/22/2020,Alaska,57
09/23/2020,Alaska,76
09/24/2020,Alaska,131
09/25/2020,Alaska,126
09/26/2020,Alaska,119
09/27/2020,Alaska,110
09/28/2020,Alaska,114
09/29/2020,Alaska,124
09/30/2020,Alaska,103
10/01/2020,Alaska,138
10/02/2020,Alaska,141
10/03/2020,Alaska,142
10/04/2020,Alaska,139
10/05/2020,Alaska,195
10/06/2020,Alaska,146
10/07/2020,Alaska,122
10/08/2020,Alaska,134
10/09/2020,Alaska,185
10/10/2020,Alaska,231
10/11/2020,Alaska,250
10/12/2020,Alaska,190
10/13/2020,Alaska,158
10/14/2020,Alaska,156
10/15/2020,Alaska,165
10/16/2020,Alaska,221
10/17/2020,Alaska,210
10/18/2020,Alaska,210
10/19/2020,Alaska,202
10/20/2020,Alaska,232
10/21/2020,Alaska,224
10/22/2020,Alaska,239
10/23/2020,Alaska,248
10/24/2020,Alaska,356
10/25/2020,Alaska,517
10/26/2020,Alaska,350
10/27/2020,Alaska,388
10/28/2020,Alaska,385
10/29/2020,Alaska,369
10/30/2020,Alaska,397
10/31/2020,Alaska,467
11/01/2020,Alaska,359
11/02/2020,Alaska,351
11/03/2020,Alaska,404
11/04/2020,Alaska,424
11/05/2020,Alaska,327
11/06/2020,Alaska,511
11/07/2020,Alaska,607
11/08/2020,Alaska,507
11/09/2020,Alaska,459
11/10/2020,Alaska,551
11/11/2020,Alaska,490
11/12/2020,Alaska,474
11/13/2020,Alaska,614
11/14/2020,Alaska,755
11/15/2020,Alaska,626
11/16/2020,Alaska,561
11/17/2020,Alaska,641
11/18/2020,Alaska,575
11/19/2020,Alaska,542
11/20/2020,Alaska,475
11/21/2020,Alaska,671
11/22/2020,Alaska,522
11/23/2020,Alaska,506
11/24/2020,Alaska,604
11/25/2020,Alaska,702
11/26/2020,Alaska,636
11/27/2020,Alaska,724
11/28/2020,Alaska,653
11/29/2020,Alaska,639
11/30/2020,Alaska,485
12/01/2020,Alaska,539
12/02/2020,Alaska,695
12/03/2020,Alaska,778
12/04/2020,Alaska,759
12/05/2020,Alaska,885
12/06/2020,Alaska,692
12/07/2020,Alaska,555
12/08/2020,Alaska,558
12/09/2020,Alaska,573
12/10/2020,Alaska,608
12/11/2020,Alaska,597
12/12/2020,Alaska,525
12/13/2020,Alaska,641
12/14/2020,Alaska,406
12/15/2020,Alaska,272
12/16/2020,Alaska,611
12/17/2020,Alaska,360
12/18/2020,Alaska,487
12/19/2020,Alaska,325
12/20/2020,Alaska,180
12/21/2020,Alaska,148
12/22/2020,Alaska,437
12/23/2020,Alaska,362
12/24/2020,Alaska,271
12/25/2020,Alaska,149
12/26/2020,Alaska,188
12/27/2020,Alaska,308
12/28/2020,Alaska,124
12/29/2020,Alaska,207
12/30/2020,Alaska,366
12/31/2020,Alaska,372
01/01/2021,Alaska,470
01/02/2021,Alaska,289
01/03/2021,Alaska,168
01/04/2021,Alaska,214
01/05/2021,Alaska,209
01/06/2021,Alaska,340
01/07/2021,Alaska,337
01/08/2021,Alaska,399
01/09/2021,Alaska,374
01/10/2021,Alaska,248
01/11/2021,Alaska,175
01/12/2021,Alaska,158
01/13/2021,Alaska,294
01/14/2021,Alaska,332
01/15/2021,Alaska,291
01/16/2021,Alaska,195
01/17/2021,Alaska,258
01/18/2021,Alaska,148
01/19/2021,Alaska,127
01/20/2021,Alaska,161
01/21/2021,Alaska,199
01/22/2021,Alaska,265
01/23/2021,Alaska,241
01/24/2021,Alaska,164
01/25/2021,Alaska,81
01/26/2021,Alaska,83
01/27/2021,Alaska,165
01/28/2021,Alaska,174
01/29/2021,Alaska,177
01/30/2021,Alaska,129
01/31/2021,Alaska,126
02/01/2021,Alaska,65
02/02/2021,Alaska,113
02/03/2021,Alaska,176
02/04/2021,Alaska,157
02/05/2021,Alaska,160
02/06/2021,Alaska,124
02/07/2021,Alaska,212
02/08/2021,Alaska,86
02/09/2021,Alaska,106
02/10/2021,Alaska,170
02/11/2021,Alaska,132
02/12/2021,Alaska,131
02/13/2021,Alaska,94
02/14/2021,Alaska,186
02/15/2021,Alaska,84
02/16/2021,Alaska,60
02/17/2021,Alaska,39
02/18/2021,Alaska,212
02/19/2021,Alaska,187
02/20/2021,Alaska,136
02/21/2021,Alaska,113
02/22/2021,Alaska,61
02/23/2021,Alaska,57
02/24/2021,Alaska,177
02/25/2021,Alaska,150
02/26/2021,Alaska,102
02/27/2021,Alaska,160
02/28/2021,Alaska,119
03/01/2021,Alaska,67
03/02/2021,Alaska,125
03/03/2021,Alaska,173
03/04/2021,Alaska,127
03/05/2021,Alaska,136
