state,year,population
Alabama,1990,"4,050,055"
Alabama,1991,"4,099,156"
Alabama,1992,"4,154,014"
Alabama,1993,"4,214,202"
Alabama,1994,"4,260,229"
Alabama,1995,"4,296,800"
Alabama,1996,"4,331,102"
Alabama,1997,"4,367,935"
Alabama,1998,"4,404,701"
Alabama,1999,"4,430,141"
Alabama,2000,"4,452,173"
Alabama,2001,"4,467,634"
Alabama,2002,"4,480,089"
Alabama,2003,"4,503,491"
Alabama,2004,"4,530,729"
Alabama,2005,"4,569,805"
Alabama,2006,"4,628,981"
Alabama,2007,"4,672,840"
Alabama,2008,"4,718,206"
Alabama,2009,"4,757,938"
Alabama,2010,"4,785,448"
Alabama,2011,"4,798,834"
Alabama,2012,"4,815,564"
Alabama,2013,"4,830,460"
Alabama,2014,"4,842,481"
Alabama,2015,"4,853,160"
Alabama,2016,"4,864,745"
Alabama,2017,"4,875,120"
Alabama,2018,"4,887,871"
Alabama,2019,"4,887,871"
Alaska,1990,"553,290"
Alaska,1991,"570,193"
Alaska,1992,"588,736"
Alaska,1993,"599,432"
Alaska,1994,"603,308"
Alaska,1995,"604,412"
Alaska,1996,"608,569"
Alaska,1997,"612,968"
Alaska,1998,"619,932"
Alaska,1999,"624,779"
Alaska,2000,"627,963"
Alaska,2001,"633,714"
Alaska,2002,"642,337"
Alaska,2003,"648,414"
Alaska,2004,"659,286"
Alaska,2005,"666,946"
Alaska,2006,"675,302"
Alaska,2007,"680,300"
Alaska,2008,"687,455"
Alaska,2009,"698,895"
Alaska,2010,"713,906"
Alaska,2011,"722,038"
Alaska,2012,"730,399"
Alaska,2013,"737,045"
Alaska,2014,"736,307"
Alaska,2015,"737,547"
Alaska,2016,"741,504"
Alaska,2017,"739,786"
Alaska,2018,"737,438"
Alaska,2019,"737,438"
Arizona,1990,"3,684,097"
Arizona,1991,"3,788,576"
Arizona,1992,"3,915,740"
Arizona,1993,"4,065,440"
Arizona,1994,"4,245,089"
Arizona,1995,"4,432,499"
Arizona,1996,"4,586,940"
Arizona,1997,"4,736,990"
Arizona,1998,"4,883,342"
Arizona,1999,"5,023,823"
Arizona,2000,"5,160,586"
Arizona,2001,"5,273,477"
Arizona,2002,"5,396,255"
Arizona,2003,"5,510,364"
Arizona,2004,"5,652,404"
Arizona,2005,"5,839,077"
Arizona,2006,"6,029,141"
Arizona,2007,"6,167,681"
Arizona,2008,"6,280,362"
Arizona,2009,"6,343,154"
Arizona,2010,"6,407,774"
Arizona,2011,"6,473,497"
Arizona,2012,"6,556,629"
Arizona,2013,"6,634,999"
Arizona,2014,"6,733,840"
Arizona,2015,"6,833,596"
Arizona,2016,"6,945,452"
Arizona,2017,"7,048,876"
Arizona,2018,"7,171,646"
Arizona,2019,"7,171,646"
Arkansas,1990,"2,356,586"
Arkansas,1991,"2,383,144"
Arkansas,1992,"2,415,984"
Arkansas,1993,"2,456,303"
Arkansas,1994,"2,494,019"
Arkansas,1995,"2,535,399"
Arkansas,1996,"2,572,109"
Arkansas,1997,"2,601,090"
Arkansas,1998,"2,626,289"
Arkansas,1999,"2,651,860"
Arkansas,2000,"2,678,588"
Arkansas,2001,"2,691,571"
Arkansas,2002,"2,705,927"
Arkansas,2003,"2,724,816"
Arkansas,2004,"2,749,686"
Arkansas,2005,"2,781,097"
Arkansas,2006,"2,821,761"
Arkansas,2007,"2,848,650"
Arkansas,2008,"2,874,554"
Arkansas,2009,"2,896,843"
Arkansas,2010,"2,921,978"
Arkansas,2011,"2,940,407"
Arkansas,2012,"2,952,109"
Arkansas,2013,"2,959,549"
Arkansas,2014,"2,967,726"
Arkansas,2015,"2,978,407"
Arkansas,2016,"2,990,410"
Arkansas,2017,"3,002,997"
Arkansas,2018,"3,013,825"
Arkansas,2019,"3,013,825"
California,1990,"29,959,515"
California,1991,"30,470,736"
California,1992,"30,974,659"
California,1993,"31,274,928"
California,1994,"31,484,435"
California,1995,"31,696,582"
California,1996,"32,018,834"
California,1997,"32,486,010"
California,1998,"32,987,675"
California,1999,"33,499,204"
California,2000,"33,987,977"
California,2001,"34,479,458"
California,2002,"34,871,843"
California,2003,"35,253,159"
California,2004,"35,574,576"
California,2005,"35,827,943"
California,2006,"36,021,202"
California,2007,"36,250,311"
California,2008,"36,604,337"
California,2009,"36,961,229"
California,2010,"37,320,903"
California,2011,"37,641,823"
California,2012,"37,960,782"
California,2013,"38,280,824"
California,2014,"38,625,139"
California,2015,"38,953,142"
California,2016,"39,209,127"
California,2017,"39,399,349"
California,2018,"39,557,045"
California,2019,"39,865,590"
Colorado,1990,"3,307,618"
Colorado,1991,"3,387,119"
Colorado,1992,"3,495,939"
Colorado,1993,"3,613,734"
Colorado,1994,"3,724,168"
Colorado,1995,"3,826,653"
Colorado,1996,"3,919,972"
Colorado,1997,"4,018,293"
Colorado,1998,"4,116,639"
Colorado,1999,"4,226,018"
Colorado,2000,"4,326,921"
Colorado,2001,"4,425,687"
Colorado,2002,"4,490,406"
Colorado,2003,"4,528,732"
